"skill_id","skills","demand_count","avg_salary"
26,"c","48","164865"
8,"go","57","164691"
185,"looker","57","158715"
77,"bigquery","36","157142"
3,"scala","56","156702"
81,"gcp","59","155811"
80,"snowflake","72","152687"
101,"pytorch","115","152603"
78,"redshift","36","151708"
99,"tensorflow","126","151536"
92,"spark","149","150188"
76,"aws","217","149630"
94,"numpy","73","149089"
106,"scikit-learn","81","148964"
95,"pyspark","34","147544"
182,"tableau","219","146970"
2,"nosql","31","146110"
4,"java","64","145706"
93,"pandas","113","144816"
1,"python","763","143828"
108,"matplotlib","40","143824"
97,"hadoop","82","143322"
0,"sql","591","142833"
74,"azure","122","142306"
100,"keras","39","141634"
